2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\Windows\SysWOW64\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\Windows\SysWOW64\mscoree.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\KernelBase.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\advapi32.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\msvcrt.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\sechost.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\rpcrt4.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\sspicli.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\cryptbase.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\Microsoft.NET\Framework\v4.0.30319\mscoreei.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\shlwapi.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\gdi32.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\user32.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\lpk.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\usp10.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\imm32.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\msctf.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\Microsoft.NET\Framework\v2.0.50727\mscorwks.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_d08cc06a442b34fc\msvcr80.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\shell32.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\ole32.dll,,,,,,,
2015,01,10,14,15,10,0566,PROCESS_MODLOAD,628,,\Windows\SysWOW64\profapi.dll,,,,,,,
2015,01,10,14,15,10,0582,PROCESS_MODLOAD,628,,\Windows\assembly\NativeImages_v2.0.50727_32\mscorlib\62a0b3e4b40ec0e8c5cfaa0c8848e64a\mscorlib.ni.dll,,,,,,,
2015,01,10,14,15,10,0582,PROCESS_MODLOAD,628,,\Windows\SysWOW64\uxtheme.dll,,,,,,,
2015,01,10,14,15,10,0582,PROCESS_MODLOAD,628,,\Windows\SysWOW64\cryptsp.dll,,,,,,,
2015,01,10,14,15,10,0582,PROCESS_MODLOAD,628,,\Windows\SysWOW64\rsaenh.dll,,,,,,,
2015,01,10,14,15,10,0597,PROCESS_MODLOAD,628,,\Windows\assembly\NativeImages_v2.0.50727_32\System\9e0a3b9b9f457233a335d7fba8f95419\System.ni.dll,,,,,,,
2015,01,10,14,15,10,0597,PROCESS_MODLOAD,628,,\Windows\assembly\NativeImages_v2.0.50727_32\Microsoft.VisualBas#\08d608378aa405adc844f3cf36974b8c\Microsoft.VisualBasic.ni.dll,,,,,,,
2015,01,10,14,15,10,0597,PROCESS_MODLOAD,628,,\Windows\Microsoft.NET\Framework\v2.0.50727\mscorjit.dll,,,,,,,
2015,01,10,14,15,10,0597,PROCESS_MODLOAD,628,,\Windows\assembly\NativeImages_v2.0.50727_32\System.Drawing\dbfe8642a8ed7b2b103ad28e0c96418a\System.Drawing.ni.dll,,,,,,,
2015,01,10,14,15,10,0597,PROCESS_MODLOAD,628,,\Windows\assembly\NativeImages_v2.0.50727_32\System.Windows.Forms\3afcd5168c7a6cb02eab99d7fd71e102\System.Windows.Forms.ni.dll,,,,,,,
2015,01,10,14,15,10,0613,PROCESS_MODLOAD,628,,\Windows\SysWOW64\dwmapi.dll,,,,,,,
